names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CXCR6,8.755263,0.9233105,2.0362781271728505e-18,5.335901584555035e-18,0.030051643875472794
S100A9,8.678391,1.1578931,4.014056262801511e-18,1.0436546283283928e-17,0.028698719813791098
ICAM2,8.612826,0.42382622,7.128075343581082e-18,1.8437218136756236e-17,0.05237852778585976
LGALS9,8.583568,0.47799596,9.197514912683591e-18,2.3728640277309988e-17,0.04954175152749491
FZD7,8.546119,0.55432814,1.2729757418860946e-17,3.275703644287868e-17,0.04527931335466977
CCR10,8.444984,0.74476546,3.040857237110573e-17,7.804866908583804e-17,0.03579066045970323
BAX,8.430198,0.27317607,3.4508163535631224e-17,8.81190604570583e-17,0.08990034914169334
LEP,8.358825,0.8335376,6.334612393947858e-17,1.609377412777108e-16,0.030422606924643585
HLA-DPB1,8.270885,0.42319754,1.329675368553632e-16,3.3611238482883475e-16,0.05048006982833867
IL10,8.254362,0.51908934,1.527161563075442e-16,3.8506013215076005e-16,0.04765056735525167
TNFRSF1B,8.241935,0.62273353,1.6944810588008458e-16,4.2617475875870514e-16,0.039871254000581904
CNTFR,8.221909,0.623495,2.002894960407881e-16,5.024806655058369e-16,0.040882310154204245
DPP4,8.197648,0.42563692,2.4513671141640003e-16,6.119248082987942e-16,0.0582048297934245
IGHA1,8.0897455,2.6472533,5.978968866272269e-16,1.4887929938155574e-15,0.054124236252545824
CX3CL1,8.077972,0.41446593,6.585253400353395e-16,1.6356919736361658e-15,0.06073974396275822
CCR1,8.022345,0.5374675,1.037456624696957e-15,2.5705299042615197e-15,0.045573901658423045
JUNB,8.012772,-0.44178477,1.1215150024836515e-15,2.771942018484284e-15,0.14573756182717487
IL17D,8.007938,0.5372401,1.1664756744859841e-15,2.8759658870947543e-15,0.043868199010765205
HBA1/2,7.9976025,0.44663265,1.2686499421634773e-15,3.1201931009966604e-15,0.054415187663660165
LEFTY1,7.992414,0.62003446,1.3232169883555636e-15,3.2384846096428342e-15,0.044271894093686356
ELANE,7.966653,0.59861207,1.6302957009772287e-15,3.980307308971234e-15,0.04083503054989817
MEIS2,7.96372,0.5675909,1.669429378510858e-15,4.065933839146883e-15,0.0392384346814082
CD27,7.866501,0.61312383,3.646977622078136e-15,8.796685782410154e-15,0.03974032586558045
VSIR,7.8653245,0.39122486,3.681420159476401e-15,8.85841725874009e-15,0.0580193482688391
RET,7.7823534,0.75253236,7.118775385499654e-15,1.70884752059596e-14,0.03101178353215013
FCGBP,7.7749434,1.0058413,7.548112796346535e-15,1.8032603601772988e-14,0.026574774512656385
HCST,7.7213855,0.6399653,1.1507207159426901e-14,2.7425510396634114e-14,0.0354887983706721
CCL4/L1/L2,7.6506042,0.85277605,2.000372286712835e-14,4.756229593823154e-14,0.034739598487052666
COL5A1,7.644277,0.4579307,2.101228168431013e-14,4.9724099210388745e-14,0.05401512947337794
FCER1G,7.6426053,0.90880454,2.128699970054867e-14,5.025539316096514e-14,0.027731306371835903
ROR1,7.6297483,0.6598397,2.352121503762309e-14,5.539937941802521e-14,0.03484870526622054
S100A4,7.605029,0.391598,2.8484029613505345e-14,6.677403663493876e-14,0.08834375909223159
CD83,7.5747266,0.25346962,3.5988511358087817e-14,8.397319316887157e-14,0.07354524294442828
EFNA4,7.474985,0.46928403,7.721249793978467e-14,1.793264743334674e-13,0.0459157695664824
IL24,7.459256,0.6507393,8.701242118119486e-14,2.016190592647594e-13,0.03441955193482688
TWIST2,7.408697,0.69837636,1.2754629035816625e-13,2.9350307275522853e-13,0.03211376200174571
SIX2,7.336977,0.6637981,2.1847215198493464e-13,5.015840003140357e-13,0.03477233052080302
PTGS1,7.3188143,0.8082164,2.5017162284269626e-13,5.730475845893341e-13,0.028171370381146348
ITGB2,7.318403,0.5459915,2.5093951803956036e-13,5.734941953369861e-13,0.03972941518766366
SLC4A4,7.242054,0.28595105,4.4194032983658065e-13,1.005414250378221e-12,0.10325865580448065
CD276,7.2414074,0.3339338,4.4405157021226605e-13,1.0079265800056198e-12,0.06606415478615071
